X,Y,veg2010,TRI,snowcov,HFI2012
415994.1485,6042465,179.81541,7.58923,0.08333,92.54728
419994.1485,6042465,182.32667,1.54068,0.23611,92.96219
423994.1485,6042465,187.6118,2.61749,0.04167,86.53292
427994.1485,6042465,195.72236,3.43801,0.02778,97.70159
431994.1485,6042465,189.75699,3.12501,0.31944,108.08032
435994.1485,6042465,200.59899,3.5561,0.56944,101.98401
439994.1485,6042465,191.43525,3.25552,0.76389,104.87496
443994.1485,6042465,182.95769,5.38979,0.15278,113.38949
447994.1485,6042465,168.59418,5.17653,0.11111,106.01793
451994.1485,6042465,161.11809,3.7277,0.02778,90.93998
455994.1485,6042465,191.8955,4.94568,0,94.51786
459994.1485,6042465,157.32026,3.39082,0,80.26619
375994.1485,6038465,198.16568,5.30138,0,100.71981
379994.1485,6038465,161.03767,5.26264,0.01818,65.95274
383994.1485,6038465,165.55699,4.47297,0,92.36137
387994.1485,6038465,176.77531,3.868,0.21875,88.15691
391994.1485,6038465,162.71724,3.53854,0,65.48949
395994.1485,6038465,172.42911,3.21279,0,63.91568
399994.1485,6038465,153.31258,2.96589,0,62.20074
403994.1485,6038465,141.16879,4.65082,0.15625,89.37376
407994.1485,6038465,169.34309,5.67715,0.34375,106.48042
411994.1485,6038465,168.91227,3.86766,0.17857,84.51914
415994.1485,6038465,192.68377,9.06086,0.07813,120.71782
419994.1485,6038465,164.85613,4.63688,0.14063,106.52624
423994.1485,6038465,147.04061,4.63688,0,115.2467
427994.1485,6038465,188.09037,4.82893,0.10938,95.4445
431994.1485,6038465,204.20186,4.92842,0.48438,104.9387
435994.1485,6038465,203.0361,4.02,0.35938,121.85082
439994.1485,6038465,208.58618,3.78547,0.59375,120.4618
443994.1485,6038465,197.99165,4.16564,0.10938,119.30836
447994.1485,6038465,195.96056,3.4204,0.23438,115.22616
451994.1485,6038465,192.22376,1.47859,0.53125,113.53824
455994.1485,6038465,168.10512,4.08889,0,93.12776
459994.1485,6038465,149.35807,4.1932,0,103.25126
371994.1485,6034465,173.74441,7.20456,0.625,43.02031
375994.1485,6034465,131.84825,5.65837,0.22449,67.23528
379994.1485,6034465,180.39775,5.34175,0.0625,76.65854
383994.1485,6034465,177.05606,5.1148,0.17188,86.09313
387994.1485,6034465,184.2823,3.57538,0.125,51.6731
391994.1485,6034465,178.8205,4.70263,0.14063,63.62085
395994.1485,6034465,180.70194,3.72514,0,70.38657
399994.1485,6034465,167.78222,4.50978,0.03125,49.48412
403994.1485,6034465,176.4125,6.72793,0.25,84.41413
407994.1485,6034465,163.25543,6.72793,0,68.28595
411994.1485,6034465,160.6507,5.43908,0.05357,110.43564
415994.1485,6034465,198.01724,9.45038,0.17188,112.33995
419994.1485,6034465,179.33439,6.88216,0.03125,109.39499
423994.1485,6034465,200.5104,5.83451,0,113.04767
427994.1485,6034465,206.30753,6.01419,0.03125,121.27873
431994.1485,6034465,200.18214,4.30799,0.17188,99.07481
435994.1485,6034465,178.33995,5.16821,0.07813,86.00349
439994.1485,6034465,179.31588,4.8544,0.15625,100.4554
443994.1485,6034465,197.23339,3.25889,0.42188,107.36017
447994.1485,6034465,182.98851,2.09022,0.1875,120.47748
451994.1485,6034465,191.66786,2.19339,0.26563,111.7736
455994.1485,6034465,165.66102,4.07403,0,107.35905
459994.1485,6034465,179.63734,2.82322,0,116.21689
363994.1485,6030465,194.35589,9.34024,0.16667,66.98375
367994.1485,6030465,191.61954,4.69097,0.91304,61.67804
371994.1485,6030465,144.48791,4.08598,1.28125,68.13121
375994.1485,6030465,118.33711,4.09951,0.82813,80.94244
379994.1485,6030465,122.6598,3.72614,0.26563,44.34014
383994.1485,6030465,143.98102,4.38759,0.23438,59.00171
387994.1485,6030465,165.29799,3.79573,0.07813,36.76553
391994.1485,6030465,191.19992,3.79573,0.1875,75.10501
395994.1485,6030465,188.58086,3.91529,0.01563,84.56184
399994.1485,6030465,144.48202,6.06296,0,55.92845
403994.1485,6030465,190.22716,6.25504,0.375,61.45016
407994.1485,6030465,136.48233,5.23083,0,85.04352
411994.1485,6030465,161.65633,8.12326,0.125,107.92488
415994.1485,6030465,198.07438,9.69465,0.04688,118.60377
419994.1485,6030465,184.6784,7.42505,0,100.94577
423994.1485,6030465,179.53434,6.55138,0,97.56751
427994.1485,6030465,167.35556,4.39455,0.35938,85.4697
431994.1485,6030465,165.6919,4.44404,0.32813,79.96339
435994.1485,6030465,125.89599,4.52342,0.57813,77.37935
439994.1485,6030465,131.89082,6.13681,0.57813,89.95788
443994.1485,6030465,166.08796,5.39627,0.76563,106.98368
447994.1485,6030465,175.82153,3.62888,0.34375,104.07776
451994.1485,6030465,183.09105,2.33382,0.0625,107.63571
455994.1485,6030465,145.87932,3.69777,0,111.82271
459994.1485,6030465,198.16281,1.88217,0.17188,123.66425
359994.1485,6026465,201.67574,6.95114,0.5,97.89927
363994.1485,6026465,165.19232,4.86556,1.12963,77.81148
367994.1485,6026465,158.47686,2.86598,1.3125,80.98414
371994.1485,6026465,141.26165,3.56942,0.96875,73.26305
375994.1485,6026465,141.7153,3.56942,0.34375,87.3788
379994.1485,6026465,127.26786,4.35975,0.0625,65.00613
383994.1485,6026465,116.95419,4.44734,0,74.90664
387994.1485,6026465,118.70714,4.7162,0.45313,51.96117
391994.1485,6026465,185.68983,5.37067,0.1875,64.89084
395994.1485,6026465,184.1455,4.64232,0,87.65727
399994.1485,6026465,168.26134,6.27566,0,71.46453
403994.1485,6026465,183.54907,6.27465,0,92.7477
407994.1485,6026465,190.93043,9.29503,0,107.35761
411994.1485,6026465,202.84045,6.64326,0,98.18871
415994.1485,6026465,197.68742,7.23957,0.01563,80.18047
419994.1485,6026465,143.25675,8.08198,0.29688,78.99762
423994.1485,6026465,154.02399,6.75749,0.35938,105.82762
427994.1485,6026465,159.88905,4.25842,0.14063,93.33117
431994.1485,6026465,123.69526,6.02286,0.92188,71.6723
435994.1485,6026465,111.64852,5.09721,0.9375,66.3982
439994.1485,6026465,179.42783,5.88935,1,103.50254
443994.1485,6026465,186.29581,7.13786,0.9375,95.34181
447994.1485,6026465,165.99363,3.55809,0.51563,95.98223
