X	Y	veg2010	TRI	snowcov	HFI2012
665505.5503	5681229	114.70865	5.38964	0	76.63633
669505.5503	5681229	111.23769	5.02877	0	78.14338
673505.5503	5681229	94.71361	4.95112	0	61.11435
593505.5503	5677229	176.41627	27.77076	8.6	128
597505.5503	5677229	112.15442	38.81599	8.2931	128
601505.5503	5677229	155.95417	16.98179	9.9375	122.33026
605505.5503	5677229	175.09268	18.42082	0.89063	125.6671
609505.5503	5677229	60.16384	38.51398	6.0625	128
613505.5503	5677229	161.78411	16.51699	2.82143	128
617505.5503	5677229	84.01946	29.93806	1.5	128
621505.5503	5677229	53.29858	43.99304	2.71875	128
625505.5503	5677229	107.79384	59.70027	3.51563	128
629505.5503	5677229	180.49528	18.68343	0.92188	128
633505.5503	5677229	181.32511	6.77577	0	128
637505.5503	5677229	194.34442	8.74351	0	119.64688
641505.5503	5677229	175.29425	3.31818	0	117.96218
645505.5503	5677229	190.66525	6.25938	0	122.86753
649505.5503	5677229	148.62743	5.62501	0	85.30728
653505.5503	5677229	87.40738	6.51846	0	103.71816
657505.5503	5677229	88.34599	3.99245	0	64.37445
661505.5503	5677229	134.27997	6.5016	0	82.05439
665505.5503	5677229	135.66187	5.67461	0	61.21333
669505.5503	5677229	114.82528	4.92237	0	70.43528
673505.5503	5677229	74.81753	4.74759	0	59.00586
677505.5503	5677229	98.45135	7.94256	0	60.74557
589505.5503	5673229	113.4291	41.1539	2	127.9224
593505.5503	5673229	123.8307	30.79448	9.38182	127.92512
597505.5503	5673229	123.35754	31.89171	4.5	99.07188
601505.5503	5673229	143.69556	13.82482	4.5	105.20364
605505.5503	5673229	187.26807	13.42062	0.29688	123.2502
609505.5503	5673229	131.42547	36.41155	9.40625	128
613505.5503	5673229	141.05949	34.39339	5.55357	128
617505.5503	5673229	97.91527	38.69065	7.375	128
621505.5503	5673229	93.16745	44.73856	6.0625	128
625505.5503	5673229	56.2935	39.96659	1.92188	128
629505.5503	5673229	121.07201	16.12113	1.73438	128
633505.5503	5673229	201.93189	5.99825	0.28125	128
637505.5503	5673229	193.37044	5.42913	0	128
641505.5503	5673229	159.80491	4.38514	0	125.19502
645505.5503	5673229	112.04898	6.25938	0	118.73821
649505.5503	5673229	90.65682	5.64408	0	108.62037
653505.5503	5673229	105.57328	3.44631	0	96.5763
657505.5503	5673229	134.28121	7.03142	0.0625	83.23196
661505.5503	5673229	108.99339	4.11433	0	118.92176
665505.5503	5673229	120.53695	5.03133	0	106.82571
669505.5503	5673229	118.51762	4.77646	0	65.70435
673505.5503	5673229	90.77665	6.32831	0	70.90527
677505.5503	5673229	93.06879	6.1536	0	59.35285
681505.5503	5673229	105.65213	8.35169	0	80.73609
589505.5503	5669229	182.6552	24.25389	0.125	120.27445
593505.5503	5669229	185.41934	21.04873	2.28125	122.37606
597505.5503	5669229	195.70622	11.62033	1.20313	106.47009
601505.5503	5669229	126.04972	12.96745	0.09375	109.40807
605505.5503	5669229	128.77078	4.59312	0.01563	123.17127
609505.5503	5669229	162.32524	21.4946	1.34375	124.64173
613505.5503	5669229	75.27036	34.69945	4.67857	128
617505.5503	5669229	72.51454	28.65888	8.04688	128
621505.5503	5669229	69.79945	40.0243	6.76563	128
625505.5503	5669229	48.91274	43.48462	4.73438	128
629505.5503	5669229	136.39285	34.15279	2.51563	128
633505.5503	5669229	189.94541	8.89745	0.15625	127.92339
637505.5503	5669229	139.58616	8.48326	0	124.51531
641505.5503	5669229	112.53068	6.28452	0	121.2805
645505.5503	5669229	119.47083	5.36989	0	119.11289
649505.5503	5669229	144.42134	6.44416	0	98.97991
653505.5503	5669229	143.83853	8.01669	0	105.16285
657505.5503	5669229	136.56989	6.57177	0	114.66396
661505.5503	5669229	106.03505	4.07698	0	108.25981
665505.5503	5669229	110.80503	4.71241	0	71.46356
669505.5503	5669229	105.1494	5.5205	0	78.95799
673505.5503	5669229	112.0614	4.18955	0	77.8647
677505.5503	5669229	109.96535	2.50828	0	66.13877
681505.5503	5669229	109.10589	3.36199	0	81.16112
685505.5503	5669229	91.76361	4.64415	0	89.12571
585505.5503	5665229	130.05324	36.45351	12	127.42226
589505.5503	5665229	170.42123	19.42347	7.29091	126.36005
593505.5503	5665229	103.60727	25.97416	0.5625	128
597505.5503	5665229	201.32319	25.55281	2.65625	128
601505.5503	5665229	178.58152	29.95209	1.14063	127.26657
605505.5503	5665229	82.71627	41.63987	2.48438	128
609505.5503	5665229	170.46813	6.14252	0.01563	122.36911
613505.5503	5665229	124.19332	38.58924	4.07143	121.85193
617505.5503	5665229	88.4309	42.50144	7.125	128
621505.5503	5665229	59.17883	44.25791	6.125	128
625505.5503	5665229	123.20267	44.06911	3.73438	128
629505.5503	5665229	137.83031	35.34978	1.45313	128
633505.5503	5665229	103.35295	10.94352	0	124.13605
637505.5503	5665229	113.18789	5.73953	0	118.39707
641505.5503	5665229	169.60275	4.48255	0	115.74786
645505.5503	5665229	160.52328	5.1207	0	108.37787
649505.5503	5665229	158.06313	8.50604	0	95.5699
653505.5503	5665229	168.87398	7.0552	0	100.43597
657505.5503	5665229	153.80117	5.50918	0	100.58374
661505.5503	5665229	125.50519	5.03758	0	95.14688
665505.5503	5665229	111.22	3.42687	0	75.99123
669505.5503	5665229	109.47972	5.38578	0	77.29533
673505.5503	5665229	110.49953	2.99184	0	54.08585
677505.5503	5665229	108.9305	2.7861	0	17.1945
681505.5503	5665229	109.90401	1.18785	0	61.118
685505.5503	5665229	96.90016	1.6423	0	16.63235
689505.5503	5665229	95.82208	5.95606	0	51.48462
585505.5503	5661229	89.39779	32.88065	8.53846	103.74449
589505.5503	5661229	144.1157	26.85923	6.05357	128
593505.5503	5661229	148.26344	35.68779	3.41071	128
597505.5503	5661229	117.01946	21.07182	8.07143	128
601505.5503	5661229	172.66494	26.04131	3.23214	128
605505.5503	5661229	164.62925	38.13392	1.42857	128
609505.5503	5661229	121.79226	24.98956	1.26786	125.31147
613505.5503	5661229	105.29318	11.07032	0.10204	71.33518
617505.5503	5661229	108.77493	44.57557	1.91071	107.3165
621505.5503	5661229	89.982	48.9102	6.21429	127.97686
625505.5503	5661229	118.14082	38.35366	2.05357	128
629505.5503	5661229	128.31203	37.04895	1.14286	123.80032
633505.5503	5661229	153.52316	3.79513	0	98.58255
637505.5503	5661229	161.76612	3.52752	0	105.23406
641505.5503	5661229	180.0299	5.91368	0	114.73121
